Hyposmotic|tissue solute concentrations are lower than surrounding water.
Osmoregulation|mechanisms organisms use to maintain a proper solute balance.
Countercurrent circularion, 02|adaptation where blood and water flow in opposite directions so that the concentration of O2 in water is always greater than the concentration in blood. (HW)
Pneumatophores|in mangroves extend above the water to absorb oxygen directly from the air!
Q10 value|a ratio of a physiological process rate at one temperature to the rate of that process when the temperature is 10°C cooler.
Glycerol and glycoproteins|chemicals present in some animals (e.g., Arctic cod) that prevent freezing by reducing strength of hydrogen bonds or via supercooling (i.e., coating of ice seeds).
Thermal optima|the range of temperatures in which an organism best performs.
Isozymes|different forms of an enzyme that catalyze a reaction.
Glycerol and glycoproteins|chemicals present in some animals (e.g., Arctic cod) that prevent freezing by reducing strength of hydrogen bonds or via supercooling
Weather|the variation in temperature and precipitation over periods of hours or days.
Climate|the typical atmospheric conditions that occur through the year, measured over many years.
LArge Scale spatial variation|be caused by factors such as climate, land topography.
small scale|variation is generated by factors such as plant structure or soil.
Phenotype|an attribute of organisms - behavior,morphology, or physiology. Genes interacting with environments
Phenotypic trade-off|a situation in which a given phenotype experiences higher fitness in one environment, whereas other phenotypes experience higher fitness in other environments
Phenotypic plasticity|ability of a singe genotype to produce multiple phenotypes, When environmental variation results in phenotypic trade-offs, natural selection will favor the evolution of phenotypic plasticity
Environmental cues|For an organism to alter its phenotype in an adaptive way, it must first be able to sense its environmental conditions.
