Hyposmotic|tissue solute concentrations are lower than surrounding water.
Osmoregulation|mechanisms organisms use to maintain a proper solute balance.
Countercurrent circularion, 02|adaptation where blood and water flow in opposite directions so that the concentration of O2 in water is always greater than the concentration in blood. (HW)
Pneumatophores|in mangroves extend above the water to absorb oxygen directly from the air!
Q10 value|a ratio of a physiological process rate at one temperature to the rate of that process when the temperature is 10°C cooler.
Glycerol and glycoproteins|chemicals present in some animals (e.g., Arctic cod) that prevent freezing by reducing strength of hydrogen bonds or via supercooling (i.e., coating of ice seeds).
Thermal optima|the range of temperatures in which an organism best performs.
Isozymes|different forms of an enzyme that catalyze a reaction. Temperatures that exceed thermal optima can be detrimental
Coral bleaching|loss of color in corals as a result of the corals expelling their symbiotic algae.
Glycerol and glycoproteins|chemicals present in some animals (e.g., Arctic cod) that prevent freezing by reducing strength of hydrogen bonds or via supercooling
Weather|Temporal variation in temperature and precipitation over periods of hours or days.
Climate|Temporal typical atmospheric conditions that occur through the year, measured over many years.
Large Scale spatial variation|be caused by factors such as climate, land topography.
Small scale|variation is generated by factors such as plant structure or soil.
Phenotype|an attribute of organisms - behavior,morphology, or physiology. Genes interacting with environments
Phenotypic trade-off|a situation in which a given phenotype experiences higher fitness in one environment, whereas other phenotypes experience higher fitness in other environments
Phenotypic plasticity|ability of a singe genotype to produce multiple phenotypes, When environmental variation results in phenotypic trade-offs, natural selection will favor the evolution of phenotypic plasticity. Traits including behavior, growth, development, and reproduction can be plastic.
Environmental cues|For an organism to alter its phenotype in an adaptive way, it must first be able to sense its environmental conditions.
Acclimation|which is an environmentally induced change in an individual’s physiology, can also be relatively rapid. Rapid responses are often reversible, whereas slow responses are often irreversible. Tanning.
Competition to resources|variety of phenotypically plastic strategies for high and low competition. ex. digestive morphology.
Hermaphrodites|individuals that produce both male and female gametes; individuals are able to fertilize their eggs with their own sperm (i.e., they are self-compatible).
Inbreeding depression|the decrease in fitness caused by matings between close relatives due to offspring inheriting deleterious alleles from both the eggs and the sperm. Because of the cost of inbreeding depression some species wait until self-fertilization becomes the last chance for reproduction.
Microhabitats|locations within a habitat that differ in environmental conditions from the rest of the habitats
Water availability|plants root to shoots ratio. Scarce water -> higher roots:shoots ratio
prevent freezing|producing antifreeze chemicals that control the formation of ice crystals, burrow
High Salinity|change the osmotic potential of body fluids by synthesizing large quantities of organic solutes.
Low O2|more rapid breathing, an increase in the number of red blood cells, and increased heart rate.
Migration|seasonal movement of animals from one region to another. Response to changing environmental conditions, such as temperature or food supplies
Storage|When resources are limited and migration is not possible, storage of resources can be an adaptive strategy. Fat or food supplies for animals, nutrients and energy in roots for plants
Dormancy|a condition in which organisms dramatically reduce their metabolic processes
Diapause|involves a partial or complete physiological shutdown in response to unfavorable conditions; common in insects. *Any time*.
Hibernation|individuals reduce the energetic costs of being active by lowering heart rate and decreasing body temperatures; common in mammals. *Winter*.
Aestivation|the shutting down of metabolic processes during the summer in response to hot or dry conditions. Well-known examples include snails, desert tortoises, and crocodiles. *During the summer*
Central place foraging|foraging behavior in which acquired food is brought to a central place (e.g., a nest with young birds). Forages farther from the central place = greater amounts of resources, but logarithmic scale of time spent searching and food found.
Risk-sensitive foraging|foraging behavior that is influence by the presence of predators.
Optimal diet composition|A predator should always eat the prey species that provides the highest amount of energy gained per unit time. If the highest energy prey is rare, the animal should include less profitable items in its diet.
Handling time|the amount of time that a predator takes to consume a captured prey.
Diet mixing|consume a varied diet because one type of food might not provide all of the necessary nutrients.
Greenhouse effect|the process of solar radiation striking Earth, being converted to infrared radiation, and being absorbed and re-emitted by atmospheric gases.
Albedo|the fraction of solar energy reflected by an object.
Adiabatic cooling|the cooling effect of reduced pressure on air as it rises higher in the atmosphere and expands.
Adiabatic heating|the heating effect of increased pressure on air as it sinks toward the surface of Earth and decreases in volume.
Latent heat release|when water vapor is converted back to liquid, water releases energy in the form of heat and warms air.
Hadley cells|the two circulation cells of air between the equator and 30 degrees N and 30 degree S latitudes.
Intertropical convergence zone (ITCZ)|the area where the two Hadley cells converge and cause large amounts of precipitation.
Coriolis effect|the deflection of an object’s path due to the rotation of Earth.
Gyre|large-scale water circulation pattern between continents.
Chromosomes|compact structures consisting of long strands of DNA wound around proteins(Histones)
Genes|Regions of DNA that code for particular proteins
Alleles|different forms of a particular gene.
Gene pool|collection of alleles from all individuals in a population.
Dominant|an allele that masks the expression of the other allele.
Recessive|an allele whose expression is masked by another allele; most harmful alleles are recessive.
Codominant|when two alleles both contribute to the phenotype (e.g., flower color in snapdragons).
Polygenic|when a single trait is affected by several genes; enables phenotypes to span a range of values in a population.(eg Eye color, height)
Pleiotropy|when a single gene affects multiple traits. eg sicke cell anemia
Epistasis|when the expression of one gene is controlled by another gene.
Heterozygous|when an individual has two different alleles of a particular gene.
Homozygous|when an individual has two identical alleles of a particular gene.
Random assortment|the process of making haploid gametes in which the combination of alleles that are placed into a given gamete could be any combination of those possessed by the diploid parent.
Mutations|a  random change in the sequence of nucleotides in regions of DNA that controls the expression of a gene.
Recombination|the reshuffling of genes that can occur as DNA is copied during meiosis and chromosomes exchange genetic material. Can hel immune system rapidly evolve
Evolution by mutation|Mutations that negatively impact physiological functions are not favored by selection, but a small fraction can be beneficial.
Genetic drift|a process that occurs when genetic variation is lost due to random variation in mating, mortality, fecundity, and inheritance.
Bottleneck effect|a reduction of genetic diversity in a population due to a large reduction in population size (e.g., from loss of food).Loss in alleles
Founder effect|when a small number of individuals leave a large population to colonize a new area and bring with them only a small amount of genetic variation.
Selection|the process by which certain phenotypes are favored to survive and reproduce over other phenotypes.
Stabilizing selection|when individuals with intermediate phenotypes have higher survival and reproductive success than those with extreme phenotypes. Occurs when the environment is relatively unchanging. Generates little evolutionary change.
Disruptive selection|when individuals with either extreme phenotype experience higher fitness than individuals with an intermediate phenotype. genetic and phenotypic variation increases.
Directional selection|when individuals with extreme phenotypes experience higher fitness than the average population phenotype.
Microevolution|the evolution of populations; affected by random processes and selection.
Artificial selection|Selection in which humans decide which individuals will breed; breeding is done with a preconceived goal for the traits in the population (e.g., dogs, wild mustard).
Natural selection|favors trait combinations that provide higher fitness to an individual.
How do we get random variation|Random assortment, recombination, mutations, genetic drift, bottleneck, founders
How do we get non-random variation|Stabilizing (average genotype is good), disruptive(average genotype is bad), directional(extreme phenotype is best)
Industrial melanism|a phenomenon in which industrial activities cause habitats to become darker due to pollution; individuals possessing darker phenotypes are favored by selection.
Macroevolution|evolution at higher levels of organization including species, genera, families, orders, and phyla.
Speciation|the evolution of new species.
Phylogenetic trees|hypothesized patterns of relatedness among different groups such as populations, species, or genera; depict which groups evolved from other groups.
Allopatric speciation|the evolution of new species through the process of geographic isolation.
Sympatric speciation|the evolution of new species without geographic isolation.
Polyploid|a species that contains three or more sets of chromosomes; can also give rise to sympatric speciation.
Life history|the schedule of an organism’s growth, development, reproduction, and survival; represents an allocation of limited time and resources to achieve maximum reproductive success.
Slow life history|Long time to sexual maturity, Long life spans,Low numbers of offspring, High parental investment
Fast life history|Short time to sexual maturity, Short life spans, High numbers of offspring, Little parental investment
Fecundity|the number of offspring produced by an organism per reproductive episode.
Parity|the number of reproductive episodes an organism experiences.
Parental investment|the time and energy given to an offspring by its parents.
Longevity (life expectancy)|the life span of an organism.
